,UPC,Banner,Kansas,New York,Northern California,Texas,Average_Price,Std
156,645118810,No Store,41.79,41.79,41.79,41.79,41.79,0.0
157,645118810,Safeway,36.99,36.99,36.99,36.99,36.99,0.0
158,645118810,Trader Joes,34.89,36.99,40.89,35.19,36.99,2.3906066175763847
159,645118810,Walmart,33.12,35.97,38.82,35.97,35.97,2.0152543263816614
160,645118810,Wegmans,35.59,36.99,36.190000000000005,35.99,36.190000000000005,0.5099019513592781
161,645118810,Whole Foods,1.99,40.39,27.189999999999998,39.19,27.19,15.43761639632233
162,81313305,No Store,57.79,55.19,60.39,57.79,57.79,1.8384776310850246
163,81313305,Safeway,52.99,53.290000000000006,53.290000000000006,53.59,53.290000000000006,0.21213203435596475
164,81313305,Trader Joes,54.223333333333336,52.49,59.19,50.99,54.223333333333336,3.0873397394304787
165,81313305,Walmart,52.230000000000004,52.230000000000004,56.14,48.32,52.230000000000004,2.764787514439401
166,81313305,Wegmans,51.49,53.59,52.35666666666666,51.99,52.35666666666667,0.7756717518813403
167,81313305,Whole Foods,1.99,58.49,39.056666666666665,56.69,39.056666666666665,22.707524450425385
168,213387822,Safeway,35.29,35.489999999999995,35.489999999999995,35.69,35.489999999999995,0.141421356237309
169,213387822,Trader Joes,36.123333333333335,34.99,39.39,33.99,36.123333333333335,2.031419864692345
170,213387822,Walmart,34.300000000000004,33.21,37.47,32.22,34.300000000000004,1.9725237641154032
171,213387822,Wegmans,35.19,35.69,35.19,34.69,35.19,0.3535533905932738
172,213387822,Whole Foods,1.99,38.89,43.89,37.79,30.64,16.70007485013166
173,226008184,Safeway,8.69,8.739999999999998,8.739999999999998,8.79,8.739999999999998,0.03535533905932725
174,226008184,Trader Joes,8.19,8.239999999999998,8.239999999999998,8.29,8.239999999999998,0.03535533905932725
175,226008184,Walmart,8.446666666666667,8.16,9.23,7.95,8.446666666666667,0.4854036121277496
176,226008184,Wegmans,8.64,8.79,8.64,8.49,8.64,0.10606601717798175
177,226008184,Whole Foods,9.49,9.49,9.49,9.49,9.49,0.0
178,252888653,No Store,15.19,15.19,15.19,15.19,15.19,0.0
179,252888653,Safeway,13.49,13.49,13.49,13.49,13.49,0.0
180,252888653,Trader Joes,12.69,12.739999999999998,12.739999999999998,12.79,12.739999999999998,0.03535533905932725
181,252888653,Walmart,12.14,12.55,14.12,12.936666666666667,12.936666666666667,0.7389970681042421
182,252888653,Wegmans,13.29,13.49,13.29,13.09,13.290000000000001,0.14142135623730964
183,252888653,Whole Foods,1.99,14.69,16.59,14.29,11.889999999999999,5.781435807824904
184,561425157,No Store,12.59,12.59,12.59,12.59,12.59,0.0
185,561425157,Safeway,12.29,12.29,12.29,12.29,12.29,0.0
186,561425157,Walmart,11.806666666666667,11.47,12.8,11.15,11.806666666666667,0.6187218007042153
187,561425157,Wegmans,12.09,12.29,12.09,11.89,12.09,0.141421356237309
188,561425157,Whole Foods,1.99,13.39,15.09,12.99,10.865,5.184291176236149
189,396134202,Safeway,36.79,36.79,36.79,36.79,36.79,0.0
190,396134202,Trader Joes,35.94,36.49,35.94,35.39,35.94,0.38890872965260165
191,396134202,Walmart,33.27,34.63,39.06,35.653333333333336,35.653333333333336,2.140844848807747
192,396134202,Wegmans,36.64,37.19,36.64,36.09,36.64,0.38890872965259915
193,396134202,Whole Foods,1.99,23.89,45.79,23.89,23.89,15.48563850798539
194,546802474,No Store,46.49,46.49,46.49,46.49,46.49,0.0
195,546802474,Safeway,44.69,52.49,47.45666666666667,45.19,47.45666666666667,3.0873397394304822
196,546802474,Trader Joes,42.49,44.29,43.25666666666667,42.99,43.25666666666667,0.657013444814233
197,546802474,Walmart,40.36,42.02,47.3,43.22666666666667,43.22666666666667,2.5625117885907684
198,546802474,Wegmans,43.39,45.19,44.123333333333335,43.79,44.123333333333335,0.6683312551921131
199,546802474,Whole Foods,1.99,49.29,55.49,35.59,35.59,20.692148269331533
200,333664376,No Store,38.29,38.29,38.29,38.29,38.29,0.0
201,333664376,Safeway,33.59,33.790000000000006,33.790000000000006,33.99,33.790000000000006,0.141421356237309
202,333664376,Trader Joes,31.99,33.29,37.49,32.29,33.765,2.203831890140445
203,333664376,Walmart,32.653333333333336,31.65,35.67,30.64,32.653333333333336,1.8815197757841051
204,333664376,Wegmans,33.49,33.99,33.49,32.99,33.49,0.3535533905932738
205,333664376,Whole Foods,1.99,36.99,19.490000000000002,19.490000000000002,19.490000000000002,12.374368670764582
206,981510405,Safeway,59.29,59.64,59.64,59.99,59.64,0.24748737341529264
207,981510405,Trader Joes,56.39,58.69,66.19,56.99,59.565,3.916870562068651
208,981510405,Walmart,53.53,55.77,62.82,57.373333333333335,57.373333333333335,3.4281214486459874
209,981510405,Wegmans,59.09,59.99,59.09,58.19,59.09,0.6363961030678943
210,981510405,Whole Foods,1.99,37.839999999999996,73.69,37.839999999999996,37.839999999999996,25.349778105537727
211,90756884,No Store,37.99,37.99,37.99,37.99,37.99,0.0
212,90756884,Safeway,36.49,36.69,36.69,36.89,36.69,0.141421356237309
213,90756884,Trader Joes,35.59,36.09,35.59,35.09,35.59,0.3535533905932738
214,90756884,Walmart,32.95,34.33,38.67,35.31666666666667,35.31666666666667,2.1106555063928996
215,90756884,Wegmans,36.34,36.89,36.34,35.79,36.34,0.38890872965260165
216,90756884,Whole Foods,1.99,40.19,27.05666666666667,38.99,27.05666666666667,15.35599774246749
217,19696884,No Store,6.390000000000001,6.09,6.69,6.390000000000001,6.390000000000001,0.21213203435596445
218,19696884,Safeway,5.89,5.89,5.89,5.89,5.89,0.0
219,19696884,Trader Joes,5.59,5.59,5.59,5.59,5.59,0.0
220,19696884,Walmart,5.875,5.54,6.21,5.875,5.875,0.2368807716974934
221,19696884,Wegmans,5.79,5.79,5.79,5.79,5.79,0.0
222,19696884,Whole Foods,1.99,6.49,4.923333333333333,6.29,4.923333333333334,1.7976836948325103
223,303530277,No Store,49.39,49.39,49.39,49.39,49.39,0.0
224,303530277,Safeway,47.49,47.74,47.74,47.99,47.74,0.1767766952966369
225,303530277,Trader Joes,45.09,46.99,52.99,45.59,47.665000000000006,3.1522809202226876
226,303530277,Walmart,46.086666666666666,44.63,50.26,43.37,46.086666666666666,2.5941697451529
227,303530277,Wegmans,47.24,47.99,47.24,46.49,47.24,0.5303300858899106
228,303530277,Whole Foods,1.99,52.29,58.99,50.79,41.015,22.741633076804312
229,173173585,No Store,50.09,50.09,50.09,50.09,50.09,0.0
230,173173585,Safeway,43.99,44.24,44.24,44.49,44.24,0.1767766952966369
231,173173585,Trader Joes,42.29,42.29,42.29,42.29,42.29,0.0
232,173173585,Walmart,39.75,41.33,46.64,42.57333333333333,42.57333333333332,2.552198398766575
233,173173585,Wegmans,42.69,44.49,43.45666666666667,43.19,43.45666666666667,0.6570134448142358
234,173173585,Whole Foods,1.99,48.49,32.52333333333333,47.09,32.52333333333333,18.704322138657332
235,506732002,Safeway,54.59,54.84,54.84,55.09,54.84,0.1767766952966369
236,506732002,Trader Joes,53.19,53.99,53.19,52.39,53.19,0.5656854249492386
237,506732002,Walmart,49.26,51.25,57.75,49.74,52.0,3.4000073529332258
238,506732002,Wegmans,54.290000000000006,55.09,54.290000000000006,53.49,54.29,0.5656854249492386
239,506732002,Whole Foods,1.99,60.09,40.156666666666666,58.39,40.156666666666666,23.379941545407394
240,60042797,No Store,14.24,13.59,14.89,14.24,14.240000000000002,0.45961940777125615
241,60042797,Safeway,13.09,13.14,13.14,13.19,13.14,0.03535533905932725
242,60042797,Trader Joes,12.39,12.49,12.49,12.59,12.49,0.0707106781186545
243,60042797,Walmart,12.693333333333333,12.32,13.84,11.92,12.693333333333333,0.7162867209900422
244,60042797,Wegmans,12.989999999999998,13.19,12.989999999999998,12.79,12.989999999999998,0.14142135623730964
245,60042797,Whole Foods,1.99,10.723333333333334,16.19,13.99,10.723333333333334,5.404319260246074
246,795937333,No Store,23.79,23.79,23.79,23.79,23.79,0.0
247,795937333,Safeway,22.79,22.939999999999998,22.939999999999998,23.09,22.939999999999998,0.10606601717798238
248,795937333,Trader Joes,22.240000000000002,22.59,22.240000000000002,21.89,22.240000000000002,0.24748737341529137
249,795937333,Walmart,22.835,21.42,24.25,22.835,22.835,1.000556095378964
250,795937333,Wegmans,22.740000000000002,23.09,22.740000000000002,22.39,22.740000000000002,0.24748737341529137
251,795937333,Whole Foods,25.99,25.19,28.39,24.39,25.99,1.4966629547095764
252,916097175,No Store,18.89,18.89,18.89,18.89,18.89,0.0
253,916097175,Safeway,16.59,16.689999999999998,16.689999999999998,16.79,16.689999999999998,0.0707106781186545
254,916097175,Trader Joes,15.79,16.49,16.09,15.99,16.09,0.25495097567963887
255,916097175,Walmart,15.07,15.65,17.61,16.11,16.11,0.9411694852681951
256,916097175,Wegmans,16.54,16.79,16.54,16.29,16.54,0.1767766952966369
257,916097175,Whole Foods,1.99,18.29,12.689999999999998,17.79,12.69,6.554769256045554
258,291765113,Safeway,35.69,35.89,35.89,36.09,35.89,0.14142135623731153
259,291765113,Trader Joes,33.99,36.02333333333333,39.79,34.29,36.02333333333333,2.309040204644922
260,291765113,Walmart,37.8,37.8,37.8,37.8,37.8,0.0
261,291765113,Wegmans,35.540000000000006,36.09,35.540000000000006,34.99,35.540000000000006,0.38890872965260165
262,291765113,Whole Foods,1.99,39.39,20.69,20.69,20.69,13.22289680818844
263,963229417,No Store,49.59,47.39,51.79,49.59,49.59,1.555634918610404
264,963229417,Safeway,45.49,53.39,48.29,45.99,48.290000000000006,3.12809846392341
265,963229417,Trader Joes,46.49,44.99,50.79,43.69,46.49,2.673013280924732
266,963229417,Walmart,45.47,42.7,48.24,45.47,45.47,1.9586857838867364
267,963229417,Wegmans,44.19,45.99,44.92333333333334,44.59,44.92333333333334,0.668331255192115
268,963229417,Whole Foods,1.99,50.09,33.59,48.69,33.59,19.357298365216156
269,256001467,No Store,26.49,26.49,26.49,26.49,26.49,0.0
270,256001467,Safeway,25.39,29.79,26.956666666666667,25.69,26.956666666666663,1.7382941830043221
271,256001467,Trader Joes,24.19,26.29,28.39,26.29,26.29,1.4849242404917495
272,256001467,Walmart,26.97,26.97,26.97,26.97,26.97,0.0
273,256001467,Wegmans,25.29,25.69,25.29,24.89,25.29,0.2828427124746193
274,256001467,Whole Foods,27.99,27.99,27.99,27.99,27.99,0.0
275,205698731,No Store,4.19,4.19,4.19,4.19,4.19,0.0
276,205698731,Safeway,3.69,3.69,3.69,3.69,3.69,0.0
277,205698731,Trader Joes,3.54,3.59,3.54,3.49,3.54,0.03535533905932725
278,205698731,Walmart,3.35,3.55,3.97,3.46,3.5825000000000005,0.2346673177074303
279,205698731,Wegmans,3.6399999999999997,3.69,3.6399999999999997,3.59,3.6399999999999997,0.03535533905932741
280,205698731,Whole Foods,1.99,3.99,3.2900000000000005,3.89,3.29,0.7968688725254615
281,899571200,Trader Joes,20.99,20.99,20.99,20.99,20.99,0.0
282,899571200,Walmart,23.1,23.1,23.1,23.1,23.1,0.0
283,899571200,Wegmans,21.740000000000002,22.09,21.740000000000002,21.39,21.740000000000002,0.24748737341529137
284,899571200,Whole Foods,1.99,24.09,27.19,17.756666666666664,17.756666666666668,9.717081180409407
285,163383455,No Store,6.49,6.49,6.49,6.49,6.49,0.0
286,163383455,Safeway,5.79,5.79,5.79,5.79,5.79,0.0
287,163383455,Trader Joes,5.59,5.69,5.59,5.49,5.590000000000001,0.07071067811865482
288,163383455,Walmart,5.21,5.45,6.02,5.23,5.4775,0.32706077416896057
289,163383455,Wegmans,5.6899999999999995,5.79,5.6899999999999995,5.59,5.6899999999999995,0.07071067811865482
290,163383455,Whole Foods,1.99,6.29,4.79,6.09,4.79,1.7161002301730512
291,769464973,No Store,41.19,41.19,41.19,41.19,41.19,0.0
292,769464973,Safeway,39.59,39.790000000000006,39.790000000000006,39.99,39.790000000000006,0.141421356237309
293,769464973,Trader Joes,37.69,39.95666666666667,44.19,37.99,39.95666666666667,2.5945455607228527
294,769464973,Walmart,35.77,37.23,41.95,36.15,37.775,2.4692255871021596
295,769464973,Wegmans,38.39,39.99,39.05666666666667,38.79,39.05666666666667,0.5887840577551905
296,769464973,Whole Foods,1.99,43.59,49.19,31.590000000000003,31.590000000000003,18.23403411206637
297,927312846,No Store,13.39,13.39,13.39,13.39,13.39,0.0
298,927312846,Safeway,12.84,13.79,12.84,11.89,12.84,0.6717514421272196
299,927312846,Trader Joes,11.19,11.856666666666664,13.09,11.29,11.856666666666664,0.7560864148142505
300,927312846,Walmart,11.785,11.11,12.46,11.785,11.785,0.4772970773009201
301,927312846,Wegmans,11.690000000000001,11.89,11.690000000000001,11.49,11.690000000000001,0.14142135623730964
302,927312846,Whole Foods,1.99,12.99,14.59,12.59,10.540000000000001,4.992744736114595
303,699701113,No Store,3.09,3.09,3.09,3.09,3.09,0.0
304,699701113,Safeway,2.99,2.99,2.99,2.99,2.99,0.0
305,699701113,Trader Joes,3.09,3.09,3.29,2.89,3.09,0.14142135623730948
306,699701113,Walmart,2.77,2.85,3.16,2.9266666666666663,2.9266666666666663,0.14565942010960595
307,699701113,Wegmans,2.9400000000000004,2.99,2.9400000000000004,2.89,2.94,0.03535533905932741
308,699701113,Whole Foods,1.99,3.29,2.823333333333333,3.19,2.8233333333333333,0.5115336417740936
309,115681900,No Store,31.29,31.29,31.29,31.29,31.29,0.0
310,115681900,Safeway,29.99,30.189999999999998,30.189999999999998,30.39,30.189999999999998,0.14142135623731025
311,115681900,Trader Joes,28.89,28.89,28.89,28.89,28.89,0.0
312,115681900,Walmart,27.17,28.2,31.82,29.063333333333333,29.063333333333336,1.7269385242870303
313,115681900,Wegmans,30.39,30.39,30.39,30.39,30.39,0.0
314,115681900,Whole Foods,1.99,1.99,1.99,1.99,1.99,0.0
315,383194572,No Store,5.29,5.29,5.29,5.29,5.29,0.0
316,383194572,Safeway,5.09,5.89,5.49,5.49,5.49,0.28284271247461895
317,383194572,Trader Joes,5.156666666666667,4.99,5.59,4.89,5.156666666666666,0.26770630673681683
318,383194572,Walmart,4.62,4.8,5.3,4.64,4.84,0.2745906043549196
319,383194572,Wegmans,4.89,5.09,4.989999999999999,4.99,4.989999999999999,0.07071067811865482
320,383194572,Whole Foods,1.99,5.59,6.29,4.623333333333333,4.623333333333333,1.6314615124687024
321,339765937,No Store,42.39,42.39,42.39,42.39,42.39,0.0
322,339765937,Safeway,40.69,47.69,43.156666666666666,41.09,43.156666666666666,2.7796882319185836
